49.16	50
16.1346	26.80	0
16.1362	25.39	0
16.1379	25.39	0
16.1395	25.39	0
16.1411	23.39	0
16.1428	23.39	0
16.1444	23.39	0
16.1461	22.70	0
16.1477	23.08	0
16.1493	23.08	0
16.1510	23.08	0
16.1526	23.59	0
16.1543	22.27	0
16.1559	22.27	0
16.1575	22.27	0
16.1592	20.87	0
16.1608	20.12	0
16.1625	20.12	0
16.1641	20.12	0
16.1658	20.12	0
16.1674	19.42	0
16.1690	19.67	0
16.1707	19.67	0
16.1723	19.67	0
16.1740	19.86	0
16.1756	18.54	0
16.1772	18.54	0
16.1789	18.54	0
16.1806	18.54	0
16.1822	17.26	0
16.1838	16.52	0
16.1855	16.52	0
16.1871	16.52	0
16.1887	16.52	0
16.1904	15.72	0
16.1920	15.72	0
16.1937	15.65	0
16.1953	15.65	0
16.1969	15.65	0
16.1986	15.65	0
16.2002	15.53	0
16.2019	15.53	0
16.2035	14.22	0
16.2051	14.22	0
16.2068	14.22	0
16.2084	14.22	0
16.2100	14.22	0
16.2117	12.87	0
16.2133	12.87	0
16.2150	11.99	0
16.2166	11.99	0
16.2183	11.99	0
16.2199	11.99	0
16.2216	11.99	0
16.2232	11.99	0
16.2249	10.95	0
16.2265	10.95	0
16.2282	10.46	0
16.2298	10.46	0
16.2314	10.46	0
16.2331	10.46	0
16.2347	10.46	0
16.2364	10.46	0
16.2380	10.46	0
16.2396	9.64	0
16.2412	9.64	0
16.2427	9.64	0
16.2443	9.64	0
16.2458	8.14	0
16.2474	8.14	0
16.2489	8.14	0
16.2505	8.14	0
16.2520	8.14	0
16.2536	8.14	0
16.2551	8.14	0
16.2567	8.14	0
16.2582	8.14	0
16.2598	8.14	0
16.2613	8.14	0
16.2629	8.14	0
16.2644	6.12	0
16.2660	6.12	0
16.2675	6.12	0
16.2691	6.12	0
16.2706	6.12	0
16.2722	4.66	0
16.2737	4.66	0
16.2753	4.66	0
16.2768	4.66	0
16.2784	4.66	0
16.2799	4.66	0
16.2815	4.66	0
16.2830	4.66	0
16.2846	4.66	0
16.2861	4.66	0
16.2877	4.66	0
16.2892	4.66	0
16.2908	4.66	0
16.2923	4.66	0
16.2939	4.66	0
16.2954	4.66	0
16.2970	4.66	0
16.2985	4.66	0
16.3001	4.66	0
16.3016	4.66	0
16.3032	4.66	0
16.3047	4.66	0
16.3062	4.66	0
16.3078	4.66	0
16.3093	4.66	0
16.3109	4.66	0
16.3124	4.66	0
16.3140	4.66	0
16.3155	4.66	0
16.3171	4.66	0
16.3186	4.66	0
16.3202	4.66	0
16.3217	4.66	0
16.3233	4.66	0
16.3248	4.66	0
16.3264	4.66	0
16.3279	4.66	0
16.3295	4.66	0
16.3310	4.66	0
16.3326	4.66	0
16.3341	4.66	0
16.3357	4.66	0
16.3372	4.66	0
16.3388	4.66	0
16.3403	4.66	0
16.3419	4.66	0
16.3434	4.66	0
16.3450	4.66	0
16.3465	4.66	0
16.3481	4.66	0
16.3496	4.66	0
16.3512	4.66	0
16.3527	4.66	0
16.3543	4.66	0
16.3558	4.66	0
16.3574	4.66	0
16.3589	4.66	0
16.3605	4.66	0
16.3620	4.66	0
16.3636	4.66	0
16.3651	0.00	0
16.3666	0.00	0
16.3682	0.00	0
16.3697	0.00	0
16.3712	0.00	0
16.3727	0.00	0
16.3743	0.00	0
16.3758	0.00	0
16.3773	0.00	0
16.3788	0.00	0
16.3804	0.00	0
16.3819	0.00	0
16.3834	0.00	0
16.3849	0.00	0
16.3864	0.00	0
16.3879	0.00	0
16.3894	0.00	0
16.3910	0.00	0
16.3925	0.00	0
16.3940	0.00	0
16.3955	0.00	0
16.3970	0.00	0
16.3986	0.00	0
16.4001	0.00	0
16.4016	0.00	0
16.4031	0.00	0
16.4046	0.00	0
16.4061	0.00	0
16.4076	0.00	0
16.4091	0.00	0
16.4106	0.00	0
16.4122	0.00	0
16.4137	0.00	0
16.4152	0.00	0
16.4167	0.00	0
16.4182	0.00	0
16.4198	0.00	0
16.4213	0.00	0
16.4228	0.00	0
16.4243	0.00	0
16.4258	0.00	0
16.4273	0.00	0
16.4289	0.00	0
16.4304	0.00	0
16.4319	0.00	0
16.4334	0.00	0
16.4349	0.00	0
16.4365	0.00	0
16.4380	0.00	0
16.4395	0.00	0
16.4410	0.00	0
16.4425	0.00	0
16.4440	0.00	0
16.4455	0.00	0
16.4471	0.00	0
16.4486	0.00	0
16.4501	0.00	0
16.4516	0.00	0
16.4531	0.00	0
16.4546	0.00	0
16.4561	0.00	0
16.4577	0.00	0
16.4592	0.00	0
16.4607	0.00	0
16.4622	0.00	0
16.4637	0.00	0
16.4653	0.00	0
16.4668	0.00	0
16.4683	0.00	0
16.4698	0.00	0
16.4713	0.00	0
16.4728	0.00	0
16.4744	0.00	0
16.4759	0.00	0
16.4774	0.00	0
16.4789	0.00	0
16.4804	0.00	0
16.4820	0.00	0
16.4835	0.00	0
16.4850	0.00	0
16.4865	0.00	0
16.4880	0.00	0
16.4895	0.00	0
16.4911	0.00	0
16.4926	0.00	0
16.4941	0.00	0
16.4956	0.00	0
16.4971	0.00	0
16.4986	0.00	0
16.5002	0.00	0
16.5017	0.00	0
16.5032	0.00	0
16.5047	0.00	0
16.5062	0.00	0
16.5077	0.00	0
16.5092	0.00	0
16.5107	0.00	0
16.5122	0.00	0
16.5138	0.00	0
16.5153	0.00	0
16.5168	0.00	0
16.5183	0.00	0
16.5198	0.00	0
16.5214	0.00	0
16.5229	0.00	0
16.5244	0.00	0
16.5259	0.00	0
16.5274	0.00	0
16.5290	0.00	0
16.5305	0.00	0
16.5320	0.00	0
16.5335	0.00	0
16.5350	0.00	0
16.5365	0.00	0
16.5381	0.00	0
16.5396	0.00	0
16.5411	0.00	0
16.5426	0.00	0
16.5441	0.00	0
16.5457	0.00	0
16.5472	0.00	0
16.5487	0.00	0
16.5502	0.00	0
16.5517	0.00	0
16.5533	0.00	0
16.5548	0.00	0
16.5563	0.00	0
16.5578	0.00	0
16.5593	0.00	0
16.5609	0.00	0
16.5624	0.00	0
16.5639	0.00	0
16.5654	0.00	0
16.5669	0.00	0
16.5685	0.00	0
16.5700	0.00	0
16.5715	0.00	0
16.5730	0.00	0
16.5745	0.00	0
16.5760	0.00	0
16.5775	0.00	0
16.5790	0.00	0
16.5806	0.00	0
16.5821	0.00	0
16.5836	0.00	0
16.5851	0.00	0
16.5866	0.00	0
16.5881	0.00	0
16.5897	0.00	0
16.5912	0.00	0
16.5927	0.00	0
16.5942	0.00	0
16.5957	0.00	0
16.5972	0.00	0
16.5988	0.00	0
16.6003	0.00	0
16.6018	0.00	0
16.6033	0.00	0
16.6048	0.00	0
16.6063	0.00	0
16.6078	0.00	0
16.6094	0.00	0
16.6109	0.00	0
16.6124	0.00	0
16.6139	0.00	0
16.6154	0.00	0
16.6170	0.00	0
16.6185	0.00	0
16.6200	0.00	0
16.6215	0.00	0
16.6230	0.00	0
16.6245	0.00	0
16.6260	0.00	0
16.6276	0.00	0
16.6291	0.00	0
16.6306	0.00	0
16.6321	0.00	0
16.6336	0.00	0
16.6351	0.00	0
16.6367	0.00	0
16.6382	0.00	0
16.6397	0.00	0
16.6412	0.00	0
16.6427	0.00	0
16.6443	0.00	0
16.6458	0.00	0
16.6473	0.00	0
16.6488	0.00	0
16.6503	0.00	0
16.6519	0.00	0
16.6534	0.00	0
16.6549	0.00	0
16.6564	0.00	0
16.6580	0.00	0
16.6595	0.00	0
16.6610	0.00	0
16.6625	0.00	0
16.6640	0.00	0
16.6655	0.00	0
16.6670	0.00	0
16.6686	0.00	0
16.6701	0.00	0
16.6716	0.00	0
16.6731	0.00	0
16.6746	0.00	0
16.6762	0.00	0
16.6777	0.00	0
16.6792	0.00	0
16.6807	0.00	0
16.6822	0.00	0
16.6837	0.00	0
16.6853	0.00	0
16.6868	0.00	0
16.6883	0.00	0
16.6898	0.00	0
16.6913	0.00	0
16.6928	0.00	0
16.6944	0.00	0
16.6959	0.00	0
16.6974	0.00	0
16.6989	0.00	0
16.7004	0.00	0
16.7019	0.00	0
16.7035	0.00	0
16.7050	0.00	0
16.7065	0.00	0
16.7080	0.00	0
16.7095	0.00	0
16.7110	0.00	0
16.7125	0.00	0
16.7141	0.00	0
16.7156	0.00	0
16.7171	0.00	0
16.7186	0.00	0
16.7202	0.00	0
16.7217	0.00	0
16.7232	0.00	0
16.7247	0.00	0
16.7262	0.00	0
16.7278	0.00	0
16.7293	0.00	0
16.7308	0.00	0
16.7323	0.00	0
16.7338	0.00	0
16.7353	0.00	0
16.7369	0.00	0
16.7384	0.00	0
16.7399	0.00	0
16.7414	0.00	0
16.7430	0.00	0
16.7445	0.00	0
16.7460	0.00	0
16.7475	0.00	0
16.7490	0.00	0
16.7505	0.00	0
16.7521	0.00	0
16.7536	0.00	0
16.7551	0.00	0
16.7566	0.00	0
16.7581	0.00	0
16.7597	0.00	0
16.7612	0.00	0
16.7627	0.00	0
16.7642	0.00	0
16.7657	0.00	0
16.7673	0.00	0
16.7688	0.00	0
16.7703	0.00	0
16.7718	0.00	0
16.7733	0.00	0
16.7749	0.00	0
16.7764	0.00	0
16.7779	0.00	0
16.7794	0.00	0
16.7809	0.00	0
16.7824	0.00	0
16.7840	0.00	0
16.7855	0.00	0
16.7870	0.00	0
16.7885	0.00	0
16.7900	0.00	0
16.7915	0.00	0
16.7931	0.00	0
16.7946	0.00	0
16.7961	0.00	0
16.7976	0.00	0
16.7991	0.00	0
16.8007	0.00	0
16.8022	0.00	0
16.8037	0.00	0
16.8052	0.00	0
16.8067	0.00	0
16.8082	0.00	0
16.8097	0.00	0
16.8113	0.00	0
16.8128	0.00	0
16.8143	0.00	0
16.8158	0.00	0
16.8174	0.00	0
16.8189	0.00	0
16.8204	0.00	0
16.8219	0.00	0
16.8234	0.00	0
16.8250	0.00	0
16.8265	0.00	0
16.8280	0.00	0
16.8295	0.00	0
16.8310	0.00	0
16.8325	0.00	0
16.8340	0.00	0
16.8356	0.00	0
16.8371	0.00	0
16.8386	0.00	0
16.8401	0.00	0
16.8416	0.00	0
16.8432	0.00	0
16.8447	0.00	0
16.8462	0.00	0
16.8477	0.00	0
16.8492	0.00	0
16.8508	0.00	0
16.8523	0.00	0
16.8538	0.00	0
16.8553	0.00	0
16.8568	0.00	0
16.8584	0.00	0
16.8599	0.00	0
16.8614	0.00	0
16.8629	0.00	0
16.8644	0.00	0
16.8659	0.00	0
16.8674	0.00	0
16.8690	0.00	0
16.8705	0.00	0
16.8720	0.00	0
16.8735	0.00	0
16.8750	0.00	0
16.8765	0.00	0
16.8780	0.00	0
16.8795	0.00	0
16.8811	0.00	0
16.8826	0.00	0
16.8841	0.00	0
16.8856	0.00	0
16.8871	0.00	0
16.8886	0.00	0
16.8902	0.00	0
16.8917	0.00	0
16.8932	0.00	0
16.8947	0.00	0
16.8962	0.00	0
16.8977	0.00	0
16.8993	0.00	0
16.9008	0.00	0
16.9023	0.00	0
16.9038	0.00	0
16.9053	0.00	0
16.9068	0.00	0
16.9083	0.00	0
16.9099	0.00	0
16.9114	0.00	0
16.9129	0.00	0
16.9144	0.00	0
16.9159	0.00	0
16.9174	0.00	0
16.9190	0.00	0
16.9205	0.00	0
16.9220	0.00	0
16.9235	0.00	0
16.9250	0.00	0
16.9266	0.00	0
16.9281	0.00	0
16.9296	0.00	0
16.9311	0.00	0
16.9326	0.00	0
16.9342	0.00	0
16.9357	0.00	0
16.9372	0.00	0
